Total_Persons_At_Work,Total,Teleworked_Some_Hours,Teleworked_All_Hours,Did_Not_Telework,Total_Persons_At_Work_Percent,Total_Teleworked_Worked_Home_Percent,Teleworked_Some_Hours_Percent,Teleworked_All_Hours_Percent,Did_Not_Telework_Percent,Teleworked_Hours_Thousands,Avg_Weekly_Hours_Teleworked,Avg_Weekly_Hours_Worked,Telework_Hours_Percent,Telework_Hours_Percent_1,"Employment_Status_Occupation_Management, professional, and related occupations","Employment_Status_Occupation_Natural resources, construction, and maintenance occupations",Employment_Status_Occupation_Nonagricultural industries,"Employment_Status_Occupation_Production, transportation, and material moving occupations",Employment_Status_Occupation_Sales and office occupations,Employment_Status_Occupation_Self-employed workers,Employment_Status_Occupation_Service occupations,"Employment_Status_Occupation_Total, 16 years and over","Employment_Status_Occupation_Wage and salary workers, excluding incorporated self-employed",Employment_Status_Occupation_    Building and grounds cleaning and maintenance occupations,Employment_Status_Occupation_    Construction,Employment_Status_Occupation_    Construction and extraction occupations,Employment_Status_Occupation_    Education and health services,"Employment_Status_Occupation_    Farming, fishing, and forestry occupations",Employment_Status_Occupation_    Financial activities,Employment_Status_Occupation_    Food preparation and serving related occupations,Employment_Status_Occupation_    Full-time workers,Employment_Status_Occupation_    Government,Employment_Status_Occupation_    Healthcare support occupations,Employment_Status_Occupation_    Information,"Employment_Status_Occupation_    Installation, maintenance, and repair occupations",Employment_Status_Occupation_    Leisure and hospitality,"Employment_Status_Occupation_    Management, business, and financial operations occupations",Employment_Status_Occupation_    Manufacturing,"Employment_Status_Occupation_    Mining, quarrying, and oil and gas extraction",Employment_Status_Occupation_    Office and administrative support occupations,Employment_Status_Occupation_    Other services,Employment_Status_Occupation_    Part-time workers,Employment_Status_Occupation_    Personal care and service occupations,Employment_Status_Occupation_    Private industries,Employment_Status_Occupation_    Production occupations,Employment_Status_Occupation_    Professional and business services,Employment_Status_Occupation_    Professional and related occupations,Employment_Status_Occupation_    Protective service occupations,Employment_Status_Occupation_    Public administration,"Employment_Status_Occupation_    Self-employed workers, incorporated","Employment_Status_Occupation_    Self-employed workers, unincorporated",Employment_Status_Occupation_    Transportation and material moving occupations,Employment_Status_Occupation_    Transportation and utilities,Employment_Status_Occupation_    Wholesale and retail trade,Employment_Status_Occupation_     Sales and related occupations,Employment_Status_Occupation_       Accommodation and food services,Employment_Status_Occupation_       Architecture and engineering occupations,"Employment_Status_Occupation_       Arts, design, entertainment, sports, and media occupations","Employment_Status_Occupation_       Arts, entertainment, and recreation",Employment_Status_Occupation_       Business and financial operations occupations,Employment_Status_Occupation_       Community and social services occupations,Employment_Status_Occupation_       Computer and mathematical occupations,Employment_Status_Occupation_       Durable goods manufacturing,"Employment_Status_Occupation_       Education, training, and library occupations",Employment_Status_Occupation_       Educational services,Employment_Status_Occupation_       Federal,Employment_Status_Occupation_       Finance and insurance,Employment_Status_Occupation_       Health care and social assistance,Employment_Status_Occupation_       Healthcare practitioners and technical occupations,Employment_Status_Occupation_       Legal occupations,"Employment_Status_Occupation_       Life, physical, and social science occupations",Employment_Status_Occupation_       Local,Employment_Status_Occupation_       Management occupations,"Employment_Status_Occupation_       Management, administrative, and waste services",Employment_Status_Occupation_       Nondurable goods manufacturing,"Employment_Status_Occupation_       Other services, except private households",Employment_Status_Occupation_       Private households,Employment_Status_Occupation_       Professional and technical services,Employment_Status_Occupation_       Real estate and rental and leasing,Employment_Status_Occupation_       Retail trade,Employment_Status_Occupation_       State,Employment_Status_Occupation_       Transportation and warehousing,Employment_Status_Occupation_       Utilities,Employment_Status_Occupation_       Wholesale trade,"Employment_Status_Occupation_          Health services, except hospitals",Employment_Status_Occupation_          Hospitals,Employment_Status_Occupation_          Social assistance
5042,903,583,320,4139,100,17.9,11.6,6.3,82.1,-0.44419498979729083,-0.35754236410702617,0.8657793845689556,-0.4384230277374267,-0.27065342253289576,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
18616,2673,1482,1190,15943,100,14.4,8.0,6.4,85.6,-0.04854218547667102,-0.5425642867917808,-0.3926927922866312,-0.5293469371841185,-0.02178039376596053,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2947,809,463,346,2138,100,27.5,15.7,11.8,72.5,-0.5052597183262211,0.11529143830956931,0.8657793845689556,0.03272813939543091,-0.27065342253289576,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
15669,1864,1020,844,13806,100,11.9,6.5,5.4,88.1,-0.13444087520209216,-0.6659122352482839,-0.6501075557343645,-0.6533340864296073,0.08487947570558291,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
9488,1130,688,442,8358,100,11.9,7.3,4.7,88.1,-0.3146036852437712,-0.6453542438388667,0.5511613403550585,-0.7029289461278029,-0.12844026323750396,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8132,752,390,362,7380,100,9.2,4.8,4.5,90.8,-0.35412815869734127,-0.7687021922953698,0.4653564192058147,-0.8186502854235925,0.23894373160892335,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1356,378,298,80,978,100,27.9,22.0,5.9,72.1,-0.5516339345980721,0.0741754554907349,1.180397428782853,-0.0581957700512609,-0.8750593495383097,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2731,1442,688,754,1289,100,52.8,25.2,27.6,47.2,-0.5115556521506835,1.8421627167006134,0.4367547788227328,1.8016114686310722,0.8670518518302354,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10402,5995,2878,3117,4407,100,57.6,27.7,30.0,42.4,-0.28796255785692526,2.0683006222042017,0.23654329614116126,2.1157122467196436,0.9974139145176786,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7257,4625,2083,2542,2632,100,63.7,28.7,35.0,36.3,-0.37963252025477034,2.6233663902584667,0.5511613403550585,2.5538001740537046,1.1988825568528167,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
