,,Weekly hours teleworked or worked at home for pay,,,,,,,,,,,,,,,,,
Characteristic,"Total, persons who teleworked or worked at home for pay","Up to 8 
hours","9 to 16 
hours","17 to 24 
hours","25 to 32 
hours","33 to 39 
hours",Total,40 hours,"41 hours 
or more",Average weekly hours teleworked,Total,"Up to 8 
hours","9 to 16 
hours","17 to 24 
hours","25 to 32 
hours","33 to 39 
hours",Total,40 hours,"41 hours 
or more"
Hispanic or Latino ethnicity,3795,592,796,571,436,110,1290,1016,274,25.8,100,15.6,21,15,11.5,2.9,34,26.8,7.2
    Men,1695,286,388,257,174,37,553,445,108,24.9,100,16.9,22.9,15.2,10.2,2.2,32.7,26.3,6.4
    Women,2101,306,409,314,262,73,737,571,166,26.5,100,14.6,19.5,14.9,12.5,3.5,35.1,27.2,7.9
With a disability,1781,283,306,262,201,79,649,402,247,27.6,100,15.9,17.2,14.7,11.3,4.4,36.4,22.6,13.9
With no disability,35559,5823,6909,4963,3689,1205,12971,9501,3469,26.6,100,16.4,19.4,14,10.4,3.4,36.5,26.7,9.8
Foreign born,5854,734,1296,884,623,160,2157,1678,479,27,100,12.5,22.1,15.1,10.6,2.7,36.8,28.7,8.2
Native born,31486,5372,5919,4341,3267,1124,11463,8225,3238,26.6,100,17.1,18.8,13.8,10.4,3.6,36.4,26.1,10.3
"Married, spouse present",23328,3794,4708,3252,2366,766,8442,6049,2393,26.5,100,16.3,20.2,13.9,10.1,3.3,36.2,25.9,10.3
"Widowed, divorced, or separated1",4881,770,792,659,516,198,1945,1350,595,27.8,100,15.8,16.2,13.5,10.6,4.1,39.9,27.7,12.2
Never married,9132,1543,1715,1314,1008,320,3232,2504,728,26.4,100,16.9,18.8,14.4,11,3.5,35.4,27.4,8
With own children under 18,13094,2051,2520,1806,1363,464,4890,3630,1260,26.9,100,15.7,19.2,13.8,10.4,3.5,37.3,27.7,9.6
With no own children under 18,24246,4056,4695,3419,2527,820,8729,6273,2456,26.6,100,16.7,19.4,14.1,10.4,3.4,36,25.9,10.1
"Total, 25 years and over",35901,5661,6882,4998,3781,1250,13328,9632,3696,27,100,15.8,19.2,13.9,10.5,3.5,37.1,26.8,10.3
    Less than a high school diploma,322,51,67,71,33,7,93,70,23,24.3,100,15.9,20.7,22.1,10.3,2.1,28.8,21.6,7.2
"    High school graduates, no college2",3298,487,473,404,387,122,1425,1079,346,28.7,100,14.8,14.3,12.2,11.7,3.7,43.2,32.7,10.5
    Some college or associate degree,6531,1024,1022,826,594,232,2834,2084,750,28.3,100,15.7,15.6,12.6,9.1,3.5,43.4,31.9,11.5
    Bachelor's degree and higher3,25749,4099,5320,3698,2767,890,8976,6400,2576,26.4,100,15.9,20.7,14.4,10.7,3.5,34.9,24.9,10
       Bachelor's degree only,14795,2175,3057,2031,1516,522,5495,3959,1536,27.1,100,14.7,20.7,13.7,10.2,3.5,37.1,26.8,10.4
       Advanced degree,10954,1924,2263,1667,1251,368,3481,2441,1040,25.6,100,17.6,20.7,15.2,11.4,3.4,31.8,22.3,9.5
